Tanggal,RR
01-01-2020,145.3
02-01-2020,58.8
03-01-2020,
04-01-2020,2.5
05-01-2020,0.2
06-01-2020,18.2
07-01-2020,15
08-01-2020,2.8
09-01-2020,28.7
10-01-2020,23.6
11-01-2020,20.4
12-01-2020,4.3
13-01-2020,1.5
14-01-2020,0.5
15-01-2020,33.8
16-01-2020,0
17-01-2020,8888
18-01-2020,78.5
19-01-2020,3.8
20-01-2020,
21-01-2020,2.4
22-01-2020,0.3
23-01-2020,74
24-01-2020,7.8
25-01-2020,123.7
26-01-2020,7.4
27-01-2020,12.3
28-01-2020,4.2
29-01-2020,0
30-01-2020,22
31-01-2020,
2/1/2020,48.5
2/2/2020,128.9
2/3/2020,16.6
2/4/2020,20.9
2/5/2020,0.5
2/6/2020,6.6
2/7/2020,0.6
2/8/2020,125.2
2/9/2020,9
2/10/2020,18.6
2/11/2020,
2/12/2020,0
2/13/2020,
2/14/2020,
2/15/2020,4.7
2/16/2020,
2/17/2020,26.5
2/18/2020,7.2
2/19/2020,17.7
2/20/2020,31
2/21/2020,57
2/22/2020,56.8
2/23/2020,125.7
2/24/2020,6.6
2/25/2020,277.5
2/26/2020,3
2/27/2020,22
2/28/2020,31.5
2/29/2020,0.6
3/1/2020,12
3/2/2020,63.6
3/3/2020,8888
3/4/2020,8888
3/5/2020,19.6
3/6/2020,2
3/7/2020,
3/8/2020,
3/9/2020,8888
3/10/2020,
3/11/2020,
3/12/2020,7.7
3/13/2020,29.2
3/14/2020,0
3/15/2020,2
3/16/2020,3.6
3/17/2020,4.8
3/18/2020,0.4
3/19/2020,0.2
3/20/2020,16
3/21/2020,10.8
3/22/2020,17.6
3/23/2020,22.5
3/24/2020,0.4
3/25/2020,0.3
3/26/2020,
3/27/2020,0.9
3/28/2020,0
3/29/2020,0
3/30/2020,0
3/31/2020,7.1
4/1/2020,21.5
4/2/2020,0
4/3/2020,0.1
4/4/2020,5.5
4/5/2020,8888
4/6/2020,0
4/7/2020,30.6
4/8/2020,
4/9/2020,0.3
4/10/2020,8888
4/11/2020,13.8
4/12/2020,
4/13/2020,14.5
4/14/2020,72
4/15/2020,5.4
4/16/2020,
4/17/2020,
4/18/2020,0
4/19/2020,
4/20/2020,0
4/21/2020,
4/22/2020,
4/23/2020,
4/24/2020,
4/25/2020,
4/26/2020,
4/27/2020,13.5
4/28/2020,1.2
4/29/2020,4.4
4/30/2020,
5/1/2020,
5/2/2020,8888
5/3/2020,1
5/4/2020,
5/5/2020,1.6
5/6/2020,
5/7/2020,0.2
5/8/2020,
5/9/2020,
5/10/2020,1
5/11/2020,0
5/12/2020,
5/13/2020,3.8
5/14/2020,
5/15/2020,
5/16/2020,
5/17/2020,0
5/18/2020,
5/19/2020,12.8
5/20/2020,
5/21/2020,29
5/22/2020,0
5/23/2020,0
